Avg_Screenwriter_Per_Screenwriter,Avg_Producer_Per_Producer,Avg_Director_Per_Director,budget,movies,starpower,Average_Billing,Movies_Producer_Per_Producer,Running_Time,Movies_Screenwriter_Per_Screenwriter,Sentiment_Score_imdb,Num_Executive,Movies_Director_Per_Director,Value,Genre_y_Action,Genre_y_Adventure,Genre_y_Comedy,Genre_y_Drama,Genre_y_Horror,Genre_y_Other,starpower,Genre_y_Thriller/Suspense,Num_Screenwriter,cluster,Year_x
230757180.0,114547428.6666667,210856545.0,18000000,14,689,2.642857142857143,9.0,108.0,15.0,0.5373985171318054,1,15.0,100.7678,0,0,0,0,0,0,689,1,1,1,2021
80575020.66666667,110196976.0,121604790.0,88000000,10,129,2.869230769230769,18.33333333333333,121.0,8.0,0.969965636730194,5,9.0,100.7678,1,0,0,0,0,0,129,0,3,0,2021
38974.0,3446214.333333333,86129.0,15000000,1,66,0.2,17.33333333333333,99.0,3.0,0.9947773218154908,20,2.0,100.7678,0,0,0,0,0,0,66,1,1,0,2021
134014165.6666667,143053667.8333333,128900618.0,200000000,11,811,0.4487179487179487,18.16666666666667,90.0,8.333333333333334,0.9795960187911988,2,11.0,100.7678,0,1,0,0,0,0,811,0,3,1,2021
165966231.0,222383561.0,205750791.0,185000000,16,946,1.186046511627907,31.0,132.0,8.0,0.7746245861053467,6,9.0,100.7678,1,0,0,0,0,0,946,0,2,1,2021
22325213.0,13421766.2,25514882.0,15000000,3,138,1.222222222222222,7.6,125.0,8.0,0.9997279047966005,6,7.0,100.7678,0,1,0,0,0,0,138,0,1,0,2021
91034797.0,59636882.66666666,47201347.0,15000000,0,0,0.0,11.33333333333333,98.0,3.0,0.9369425773620604,6,1.0,100.5344,0,0,0,0,1,0,0,0,2,0,2021
1118809.0,59805866.33333334,1118809.0,10000000,0,0,0.0,6.0,111.0,2.0,0.883158802986145,0,2.0,100.5344,0,0,0,1,0,0,0,0,1,0,2021
15449322.0,46579282.75,15449322.0,67972729,1,89,0.05,11.5,116.0,1.0,0.9975729584693908,3,1.0,100.5344,0,0,0,0,0,0,89,1,1,0,2021
45820043.0,54774702.0,310210632.0,40000000,3,150,0.1111111111111111,14.5,109.4714903657098,5.0,0.9907392263412476,0,12.0,100.4918,0,0,0,0,1,0,150,0,1,0,2021
174997719.6666667,266354484.5,133841994.0,165000000,19,1665,8.0,6.5,156.0,8.0,0.6931085586547852,0,8.0,100.4918,1,0,0,0,0,0,1665,0,3,1,2021
46648762.5,10711831.33333333,272543715.0,50000000,1,79,0.0266666666666666,1.333333333333333,120.0,4.0,0.9982300400733948,4,4.0,100.4918,0,0,0,1,0,0,79,0,2,0,2021
553189414.3333334,437603063.5,198508574.0,250000000,14,1032,2.75,13.0,163.0,6.666666666666667,0.9939303398132324,0,4.0,100.4918,1,0,0,0,0,0,1032,0,3,2,2021
340564242.0,273690756.3333333,126603846.0,110000000,5,363,0.154,12.5,97.0,6.0,0.6792072057723999,3,4.0,100.4918,1,0,0,0,0,0,363,0,1,2,2021
91823515.33333331,47604928.0,140714113.0,100000000,8,247,0.5176470588235295,13.33333333333333,153.0,5.0,0.8777400255203247,3,31.0,100.4509,0,0,0,1,0,0,247,0,3,0,2021
